DAL	Hartman	Kevin	GK	155000	$
DAL	Hernandez	Daniel	M-D	160000	49200
DAL	Hernandez	Moises	D	42000	$
DAL	Ihemelu	Ugo	D	170000	209633
DAL	Jacobson	Andrew	M	45000	$
DAL	John	George	D	42000	32600.04
DAL	Lambo	Josh	GK	100000	$
DAL	Leyva	Bryan	M	55000	55000
DAL	Loyd	Zach	M	52250	$
DAL	Luna	Ruben	F	55000	42000
DAL	Marosevic	Peri	F	80000	$
DAL	Rodriguez	Milton	F	198000	66666.67
DAL	Sanchez	Richard	GK	32600	$
DAL	Seitz	Chris	GK	100000	42000
DAL	Shea	Brek	M-D	100000	$
DAL	Top	Jonathan	F	32600	163500
DAL	Ulloa	Victor	M	42000	$
DAL	Villar	Ricardo	M	150000	87346
DAL	Warshaw	Bobby	D	42000	$
DAL	Wiedeman	Andrew	F	75000	72169
DC	Barklage	Brandon	M	42000	$
DC	Boskovic	Branko	M	389166.67	320000
DC	Brasesco	Rodrigo	D	42000	$
DC	Brettschneider	Blake	F	42000	595000
DC	Burch	Marc	D	95000	$
DC	Carreiro	Fred	M-F	150000	66375
DC	Carreiro	Junior	M	42000	$
DC	Cronin	Steve	GK	72000	115000
DC	Davies	Charlie	F	184620	$
DC	Hamid	Bill	GK	55000	133500
DC	Jakovic	Dejan	D	181600	$
DC	King	Stephen	M	44000	32600
DC	Kitchen	Perry	D	62750	$
DC	Korb	Chris	D	42000	121875
DC	McTavish	Devon	D-M	50000	$
DC	Morsink	Kurt	M	62000	32600.04
DC	Najar	Andy	M-F	125000	$
DC	Ngwenya	Joseph	M/F	156000	140000
DC	Onstad	Pat	GK	42000	$
DC	Pontius	Chris	M-F	125000	170496
DC	Quaranta	Santino	M-F	115000	$
DC	Shanosky	Conor	D	55000	32600.04
DC	Simms	Clyde	M	173250	$
DC	White	Ethan	D	55000	34475
DC	Willis	Joe	GK	42000	$
DC	Wolff	Josh	F	160000	42000
DC	Woolard	Daniel	D	50000	$
DC	Zayner	Jed	D	66500	32604
DC	McCarty	Dax	M	155000	$
HOU	Ashe	Corey	M	80000	48000
HOU	Boswell	Robert	D	210000	$
HOU	Bruin	Will	F	80000	42000
HOU	Cameron	Geoff	M	220000	$
HOU	Carr	Calen	F	74813	51464.29
HOU	Chabala	Michael	M	67500	$
HOU	Ching	Brian	F	375000	400000
HOU	Clark	Colin	M	93713	$
HOU	Cruz	Danny	M	80000	42000
HOU	Davis	Brad	M	235000	$
HOU	Deric	Tyler	GK	42000	89188
HOU	Dixon	Alex	M	45000	$
HOU	Freeman	Hunter	D	150000	32604
HOU	Garey	Jason	F	80000	$
HOU	Graye	Jordan	D	44000	32604
HOU	Hainault	Andrew	D	130000	$
HOU	Hall	Tally	GK	85000	203374.92
HOU	Koke		F	153000	$
HOU	Navas	Francisco	M	42000	32604
HOU	Newton	Evan	GK	32600	$
HOU	Palmer	Lovel	M	75000	32604
HOU	Robinson	Eddie	D	120000	$
HOU	Sarkodie	Kofi	D	65000	70000
HOU	Soto	Josue	M	32600.04	$
HOU	Taylor	Jermaine	D	57500	147988.37
HOU	Watson	Je-Vaughn	M	90000	$
HOU	Weaver	Cam	F	89250	63525
KC	Aiyegbusi	Olukorede	D	42000	$
KC	Arnaud	Davy	M	250000	44000
KC	Auvray	Stephane	M	170000	$
KC	Besler	Matt	D	58410	165000
KC	Bravo	Omar	F	120000	83250
KC	Bunbury	Teal	F	85000	$
KC	Cesar	Julio	D	210000	245000
KC	Collin	Aurelien	D	185004	$
KC	Diop	Ibrahim	M	60000	176908.89
KC	Ellis	Kevin	D	32604	$
KC	Espinoza	Roger	M	100000	199312.5
KC	Harrington	Michael	M-D	110000	$
KC	Jones	Mychel	D	32604	42000
KC	Kamara	Kei	F	200000	$
KC	Kempin	Jonathan	GK	42000	42000
KC	Kounenakis	Nick	D	110004	$
KC	Kronberg	Eric	GK	62500	60638
KC	Lorenz	Scott	D	32604	$
KC	Myers	Chance	D-M	72000	157750
KC	Nielsen	Jimmy	GK	200000	$
KC	Rocastle	Craig	M	110000	42000
KC	Sapong	Charles	F	42000	$
KC	Sassano	Luke	M-D	42000	146992
KC	Smith	Ryan	M-F	140000	$
KC	Stojcev	Milos	M	90000	85625
KC	Thomas	Shavar	D	160000	$
KC	Warzycha	Konrad	M	32604	60375
KC	Zusi	Graham	F-M	42000	$
LA	Alvarado	Sean	D	32604	301666.67
LA	Angel	Juan Pablo	F	1000000	$
LA	Barrett	Chad	F	192000	46750
LA	Beckham	David	M	5500000.08	$
LA	Berhalter	Gregg	D	96000	133000
LA	Birchall	Chris	M	144000	$
LA	Cardozo	Paolo	M	42000	171250
LA	Cristman	Adam	F	42000	$
LA	DeLaGarza	AJ	D	55110	42000
LA	Donovan	Landon	F	2300000	$
LA	Dunivant	Todd	D	135000	50000
LA	Franklin	Sean	D	97389	$
LA	Gomes	Juninho	M	90000	62500
LA	Gonzalez	Omar	D	120000	$
LA	Hejduk	Frankie	M	96000	42000
LA	Jimenez	Hector	M	32604	$
LA	Jordan	Bryan	F	42000	705000
LA	Keat	Daniel	M	42000	$
LA	Kirovski	Jovan	F	84000	55404
LA	Lopez	Miguel	M	45000	$
LA	Magee	Mike	F	102850	105375
LA	McBean	Jack	F	55000	$
LA	McCarty	Dustin	M	32604	63000
LA	Perk	Brian	GK	71250	$
LA	Ribeiro Da Silva	Leonardo	D	90000	175000
LA	Ricketts	Donovan	GK	170000	$
LA	Saunders	Josh	GK	63222	172500
LA	Stephens	Michael	M	57750	$
LA	Thomas	Ryan	D	32604	44500
NE	Alston	Kevin	D	100000	$
NE	Augustine	Michael	M	42000	170000
NE	Barnes	Darrius	D	60500	$
NE	Boggs	Zak	F-M	42000	45000
NE	Cochrane	Ryan	D	70000	$
NE	Coria	Franco	D	100000	42000
NE	Dabo	Ousmane	M	200000	$
NE	Domi	Didier	D	150000	133000
